station,valid, tmpf ,  dwpf ,  relh ,  drct ,  sped ,  mslp ,  p01i ,  vsby ,  presentwx
CMI,2016-01-01 00:53,26.06,21.92,84.10,230.00,10.4,1027.00,0.00,7.00,M
CMI,2016-01-01 01:53,26.06,21.02,80.96,240.00,8.1,1026.80,0.00,7.00,M
CMI,2016-01-01 02:53,24.98,19.94,80.87,250.00,10.4,1026.60,0.00,8.00,M
CMI,2016-01-01 03:53,24.98,19.94,80.87,250.00,10.4,1026.20,0.00,8.00,M
CMI,2016-01-01 04:53,24.08,19.04,80.80,260.00,12.7,1026.10,0.00,9.00,M
CMI,2016-01-01 05:53,24.08,19.04,80.80,270.00,13.8,1026.40,0.00,9.00,M
CMI,2016-01-01 06:05,24.08,19.04,80.80,260.00,12.7,M,0.00,10.00,M
CMI,2016-01-01 06:35,23.00,17.96,80.71,270.00,12.7,M,0.00,10.00,M
CMI,2016-01-01 06:53,23.00,17.96,80.71,260.00,11.5,1026.60,0.00,10.00,M
CMI,2016-01-01 07:38,24.08,19.04,80.80,260.00,10.4,M,0.00,9.00,M
CMI,2016-01-01 07:53,24.08,19.04,80.80,260.00,12.7,1026.90,0.00,9.00,M
CMI,2016-01-01 08:53,24.98,19.04,77.82,270.00,18.4,1027.40,0.00,10.00,M
CMI,2016-01-01 09:53,24.98,17.96,74.29,270.00,18.4,1027.30,0.00,10.00,M
CMI,2016-01-01 10:53,26.96,19.94,74.50,260.00,15.0,1027.10,0.00,10.00,M
CMI,2016-01-01 11:53,28.04,21.02,74.61,260.00,18.4,1026.30,0.00,10.00,M
CMI,2016-01-01 12:53,26.96,21.02,78.00,260.00,19.6,1026.00,0.00,10.00,M
CMI,2016-01-01 13:53,28.04,21.02,74.61,260.00,18.4,1025.80,0.00,10.00,M
CMI,2016-01-01 14:53,30.02,21.92,71.48,260.00,16.1,1025.70,0.00,10.00,M
CMI,2016-01-01 15:19,28.94,21.92,74.70,250.00,18.4,M,0.00,10.00,M
CMI,2016-01-01 15:53,28.94,23.00,78.18,250.00,17.3,1025.50,0.00,10.00,M
CMI,2016-01-01 16:53,28.94,24.08,81.80,240.00,10.4,1024.90,0.00,10.00,M
CMI,2016-01-01 17:53,28.94,24.08,81.80,220.00,12.7,1025.00,0.00,10.00,M
CMI,2016-01-01 18:53,28.04,24.08,84.87,220.00,10.4,1024.90,0.00,10.00,M
CMI,2016-01-01 19:53,30.02,24.98,81.27,210.00,17.3,1023.90,0.00,10.00,M
CMI,2016-01-01 20:53,30.92,26.06,81.95,230.00,17.3,1024.30,0.00,10.00,M
CMI,2016-01-01 21:53,30.92,24.98,78.35,230.00,17.3,1024.30,0.00,10.00,M
CMI,2016-01-01 22:53,30.02,24.98,81.27,220.00,15.0,1024.00,0.00,10.00,M
CMI,2016-01-01 23:53,28.94,24.08,81.80,230.00,12.7,1023.50,0.00,10.00,M
CMI,2016-01-02 00:53,28.04,21.92,77.50,230.00,11.5,1023.10,0.00,10.00,M
CMI,2016-01-02 01:53,26.96,21.92,81.03,240.00,10.4,1022.90,0.00,10.00,M
CMI,2016-01-02 02:53,26.96,21.02,78.00,250.00,11.5,1022.80,0.00,10.00,M
CMI,2016-01-02 03:53,26.96,21.02,78.00,250.00,10.4,1022.80,0.00,10.00,M
CMI,2016-01-02 04:53,24.98,19.94,80.87,260.00,9.2,1022.50,0.00,10.00,M
CMI,2016-01-02 05:53,24.08,19.04,80.80,260.00,9.2,1022.40,0.00,10.00,M
CMI,2016-01-02 06:53,21.02,17.06,84.41,270.00,5.8,1023.20,0.00,10.00,M
CMI,2016-01-02 07:53,24.08,19.04,80.80,260.00,6.9,1023.40,0.00,10.00,M
CMI,2016-01-02 08:53,26.96,23.00,84.80,240.00,9.2,1023.50,0.00,10.00,M
CMI,2016-01-02 09:53,30.02,24.08,78.27,250.00,13.8,1023.30,0.00,10.00,M
CMI,2016-01-02 10:53,32.00,24.08,72.24,250.00,13.8,1023.20,0.00,10.00,M
CMI,2016-01-02 11:53,33.08,24.08,69.17,250.00,16.1,1022.20,0.00,10.00,M
CMI,2016-01-02 12:53,35.06,24.98,66.36,250.00,17.3,1021.10,0.00,10.00,M
